stay_date,SARIMA_Forecast,Actual
2025-05-02,37.268552896529144,35
2025-05-03,33.95527428690224,34
2025-05-04,27.78013536803676,17
2025-05-05,20.642068889581825,23
2025-05-06,17.90445846091326,25
2025-05-07,21.60596922460435,26
2025-05-08,28.939151452148536,26
2025-05-09,34.37621247112478,29
2025-05-10,33.83241678566234,25
2025-05-11,27.7313784845848,20
2025-05-12,20.672019737876404,19
2025-05-13,17.958554388277395,23
2025-05-14,21.61167820288123,14
2025-05-15,28.860543799943642,18
2025-05-16,34.24084566136158,30
2025-05-17,33.71041743613407,32
2025-05-18,27.682598470508367,32
2025-05-19,20.701086424032468,20
2025-05-20,18.011572436904128,23
2025-05-21,21.61692632285755,17
2025-05-22,28.782436672667494,26
2025-05-23,34.10656145066696,32
2025-05-24,33.58926721194096,31
2025-05-25,27.633796685848562,23
2025-05-26,20.729279638553102,22
2025-05-27,18.063524562693374,18
2025-05-28,21.621717815956032,26
2025-05-29,28.70482342215736,40
2025-05-30,33.9733473432736,40
2025-05-31,33.468957180239975,36
